formula,activity,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
GeO2,peroxidase,1000.0,100.0,,,CTAB,0.42,0.0002339999999999,TMB+H2O2,0.0,1.0,1.2,0.1,4.0,37.0,,,11880.0
GeO2,peroxidase,1000.0,100.0,,,CTAB,1.75,0.0002339999999999,H2O2+TMB,0.0,4.0,1.0,0.1,4.0,37.0,,,11881.0
CoMo,peroxidase,,,,,,0.127,8.730000000000001e-05,H2O2+TMB,0.1,10.0,2.5,0.1,4.0,25.0,,,11889.0
CoMo,peroxidase,,,,,,0.236,5.690000000000001e-05,TMB+H2O2,0.1,2.5,10.0,0.1,4.0,25.0,,,11890.0
CoMo,oxidase,,,,,,0.1773,0.000195,TMB,0.1,2.5,,0.1,4.0,25.0,,,11891.0
Pt,peroxidase,3.8,3.8,3.8,,,0.052,0.0001639999999999,TMB+H2O2,0.05,0.35,4000.0,,4.0,20.0,0.4,,11892.0
Pt,peroxidase,3.8,3.8,3.8,,,63.86,0.00029,H2O2+TMB,5.0,35.0,0.35,,4.0,20.0,0.4,,11893.0
CoSe2,peroxidase,3770.0,,,,,0.371,,TMB+H2O2,0.083,0.916,16.0,0.6,4,25.0,,9.14,11903.0
CoSe2,peroxidase,3770.0,,,,,15.2,,H2O2+TMB,16.0,146.0,0.083,0.6,4,25.0,,9.14,11904.0
Ir@MnFe2O4,peroxidase,11.24,11.24,11.24,,Oleylamine,0.01,0.001,H2O2+TMB,0.001,0.1,2.0,1.0,7.4,37.0,18.98,,11912.0
Ir@MnFe2O4,peroxidase,11.24,11.24,11.24,,Oleylamine,0.01,0.001,TMB+H2O2,0.001,0.1,2.0,1.0,7.4,37.0,18.98,,11913.0
Fe3O4,peroxidase,,,,,,,,H2O2+TMB,,,490.0,,4.8,,,,11919.0
Fe3O4,peroxidase,,,,,,,,TMB+H2O2,,,490.0,,4.8,,,,11920.0
Au,peroxidase,10.0,10.0,10.0,,,,,TMB+H2O2,1e-05,1e-05,5e-06,,7.5,25.0,,,11925.0
Pt,catalase,10.0,10.0,10.0,,,,,H2O2,,,10000.0,,7,25.0,,,11927.0
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,TMB,5.0,120.0,,,4,28.0,,,11939.0
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,ABTS,,,,,4,28.0,,,11940.0
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,OPD,,,,,4,28.0,,,11941.0
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,dopamine,,,,,4,28.0,,,11942.0
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,0.064,8.166666666666668e-06,TMB+H2O2,0.0,1.0,,,7,25.0,-46.6,,11961.0
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,0.13,2e-05,H2O2+TMB,,,1.0,,7,25.0,-46.6,,11962.0
Au,peroxidase,14.36,14.36,14.36,,Sodium citrate,0.072,7.166666666666666e-06,TMB+H2O2,0.0,1.0,,,7,25.0,-19.1,,11963.0
Au,peroxidase,14.36,14.36,14.36,,Sodium citrate,0.0969999999999999,9.166666666666668e-06,H2O2+TMB,,,1.0,,7,25.0,-19.1,,11964.0
CeO2,peroxidase,,,,,,20.13,,H2O2+DAB,,,0.575,,,,,,11976.0
CeO2,peroxidase,,,,,,0.3,,DAB+H2O2,,,137.5,,,,,,11979.0
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,,,TMB + H2O2,,,2000.0,,7.4,37.0,,,11987.0
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,25.0,25.8,,12015.0
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,35.0,25.8,,12016.0
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,45.0,25.8,,12017.0
ZrO2,peroxidase,82.0,82.0,82.0,,,,,H2O2+TMB,1e-05,100.0,1.0,,4,25.0,25.8,,12018.0
ZnFe2O4/ZnO,peroxidase,20.0,20.0,20.0,,Ascorbic acid,0.05,0.001,TMB+H2O2,0.001,0.5,150.0,0.05,3,25.0,,,12043.0
ZnFe2O4/ZnO,peroxidase,20.0,20.0,20.0,,Ascorbic acid,0.05,0.001,H2O2+TMB,10.0,200.0,0.5,0.05,3,25.0,,,12044.0
Au,phosphatase,2.85,2.85,2.85,,,0.93,,HPNP,,,,,7.4,40.0,,,12047.0
Ag,peroxidase,8.0,8.0,8.0,,,4.17,0.00247,TMB+H2O2,0.0,30.0,5000.0,0.0456,5 mM,20.0,-24.8,,12053.0
Ag,peroxidase,8.0,8.0,8.0,,,58.6,0.0002149999999999,H2O2+TMB,0.0,3000.0,10.0,0.0456,5 mM,20.0,-24.8,,12054.0
Fe2O3,peroxidase,64.0,64.0,64.0,,,,,3-AP + 4-AAP,,,,,9.8,20.0,,14.0,12057.0
Fe3O4,peroxidase,6.0,6.0,6.0,poly(ethylene glycol),Ascorbic acid,,,H2O2+TMB,,,0.1,0.1,~6.5-7.0,25.0,,,12058.0
Fe3O4,peroxidase,6.0,6.0,6.0,poly(ethylene glycol),Ascorbic acid,0.01,0.0001166666666666,TMB+H2O2,0.001,0.1,0.1,0.1,~6.5-7.0,25.0,,,12059.0
Au,oxidase,23.0,23.0,23.0,,Sodium citrate,0.001,1e-05,Glucose + O2,,,5.0,,7.4,22.0,,,12066.0
Au,oxidase,23.0,23.0,23.0,,Sodium citrate,0.001,1e-05,H2O2 + ABTS,,,0.4,,7.4,22.0,,,12067.0
MoS2,peroxidase,,,,,,0.8246,1.161e-05,TMB+H2O2,0.1,1.6,10.0,,3.6,37.0,,,12070.0
MoS2,peroxidase,,,,,,2.0828,1.3460000000000002e-05,H2O2+TMB,0.8,12.8,0.8,,3.6,37.0,,,12071.0
MoS2,peroxidase,,,,,,0.7916,1.796e-05,TMB+H2O2,0.1,1.6,10.0,,3.6,37.0,,,12072.0
MoS2,peroxidase,,,,,,0.4459,4.348e-05,H2O2+TMB,0.8,12.8,0.8,,3.6,37.0,,,12073.0
Co3O4,peroxidase,,,80.0,Nafion,,0.136,,H2O2,1.0,390.0,,0.5,7.0,25.0,,,12076.0
CeO2/CoO,peroxidase,650.0,650.0,650.0,,,0.245,0.0001478,TMB+H2O2,0.1,1.0,20.0,0.03,5,25.0,,,12078.0
CeO2/CoO,peroxidase,650.0,650.0,650.0,,,0.113,0.001101,H2O2+TMB,0.02,0.2,20.0,0.03,5,25.0,,,12079.0
Fe3O4,peroxidase,275.0,275.0,275.0,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-8.7,47.1,12089.0
Fe3O4,peroxidase,108.0,108.0,108.0,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-13.8,16.9,12090.0
Fe3O4,peroxidase,8.5,8.5,8.5,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-10.5,21.8,12091.0
Fe3O4,peroxidase,10.0,10.0,10.0,,,,,TMB+H2O2,0.001,0.1,1.0,,8.0,25.0,,,12092.0
Fe3O4,peroxidase,10.0,10.0,10.0,,,,,H2O2+TMB,0.001,0.1,1.0,,8.0,25.0,,,12093.0
Au,peroxidase,25.0,25.0,25.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.0198,1.22,,,3,25.0,,,12101.0
Au,peroxidase,30.0,30.0,30.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.00199,0.2,,,3,25.0,,,12102.0
Au,peroxidase,52.0,52.0,52.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.000107,0.0286,,,3,25.0,,,12103.0
Ag,peroxidase,100.0,100.0,100.0,,,0.04,0.0001,TMB+H2O2,0.025,1.0,10.0,,5.0,37.0,,,12114.0
Ag,peroxidase,100.0,100.0,100.0,,,1.5,0.0001,H2O2+TMB,2.0,20.0,0.2,,5.0,37.0,,,12115.0
Ru,,,,,,,,,RCM,,,,,,30.0,,500.0,12120.0
Pt,peroxidase,2.3,2.3,2.3,,,0.056,5.82e-07,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,12122.0
Pt,peroxidase,2.3,2.3,2.3,,,48.0,5.679999999999999e-07,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,12123.0
Pt,peroxidase,2.3,2.3,2.3,,,0.0329,1.19e-07,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,12124.0
Pt,peroxidase,2.3,2.3,2.3,,,74.4,3.05e-07,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,12125.0
Pt,peroxidase,2.3,2.3,2.3,,,0.0162,1.93e-08,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,12126.0
Pt,peroxidase,2.3,2.3,2.3,,,117.2,5.1900000000000015e-08,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,12127.0
Au,phosphatase,2.85,2.85,2.85,,,0.93,,HPNP,,,,,7.4,40.0,,,12143.0
C,peroxidase,43.0,43.0,43.0,,,,,,,,,,5.5,25.0,,,12144.0
C,peroxidase,165.0,165.0,165.0,,,0.682,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,12145.0
C,peroxidase,165.0,165.0,165.0,,,0.543,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,12146.0
C,peroxidase,165.0,165.0,165.0,,,0.49,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,12147.0
C,peroxidase,165.0,165.0,165.0,,,,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,12148.0
C,peroxidase,165.0,165.0,165.0,,,,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,12149.0
C,peroxidase,165.0,165.0,165.0,,,36.0,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,12150.0
C,peroxidase,165.0,165.0,165.0,,,0.031,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,12151.0
Au,peroxidase,8.1,8.1,8.1,,,,,TMB+H2O2,0.001,0.8,1400.0,,4.5,25.0,,,12166.0
Au,peroxidase,8.1,8.1,8.1,,,,,H2O2+TMB,0.001,0.8,2.5,,4.5,25.0,,,12167.0
MnO2,peroxidase,70.0,70.0,70.0,poly(ethylene glycol),CTAB,,,H2O2+TMB,,,,,~7.4,25.0,,,12170.0
MnO2,peroxidase,70.0,70.0,70.0,poly(ethylene glycol),CTAB,,,TMB+H2O2,,,,,~7.4,25.0,,,12171.0
Fe3O4,peroxidase,300.0,300.0,300.0,,,1.51,,H2O2+TMB,0.01,50.0,,0.0014,7.4,25.0,,,12172.0
Fe3O4,peroxidase,300.0,300.0,300.0,,,0.0067,,H2O2+ABTS,0.01,100.0,,0.0014,7.4,25.0,,,12173.0
Fe3O4,peroxidase,449.0,449.0,449.0,,,0.21,,H2O2+TMB,0.01,50.0,,0.0014,7.4,25.0,,,12174.0
Fe3O4,peroxidase,449.0,449.0,449.0,,,0.0067,,H2O2+ABTS,0.01,100.0,,0.0014,7.4,25.0,,,12175.0
Fe3O4,peroxidase,,,,,,0.49,0.0131666666666666,H2O2+TMB,,,5.0,10.0,3.5,30.0,,,12182.0
Fe3O4,peroxidase,,,,,,0.67,1.883333333333333e-05,TMB+H2O2,,,5.0,0.01,3.5,30.0,,,12183.0
Au,peroxidase,13.0,13.0,13.0,poly(N-Vinylpyrrolidone),,,,TMB+H2O2,5e-06,0.0001,100.0,,5.0,25.0,-15.6,,
Au,peroxidase,13.0,13.0,13.0,poly(N-Vinylpyrrolidone),,,,H2O2+TMB,5e-06,0.0001,0.5,,5.0,25.0,-15.6,,
Ru,peroxidase,50.0,50.0,50.0,,,0.05,0.0254,H2O2,0.0005,1.75,,,7.4,25.0,,,
Fe3O4,peroxidase,12.0,12.0,12.0,,oleic acid,,,H2O2+PG,2.0000000000000002e-23,,50.0,,8,40.0,,,
Fe3O4,peroxidase,12.0,12.0,12.0,,oleic acid,,,H2O2+PG,5.0000000000000005e-22,,50.0,,8,40.0,,,
Fe4[Fe(CN)6]3,peroxidase,20.0,20.0,20.0,,,0.028,,H2O2+ABTS,0.002,0.2,4.0,,4.0,50.0,-4.59,,
Fe4[Fe(CN)6]3,peroxidase,20.0,20.0,20.0,,,157.45,,ABTS+H2O2,0.5,4.0,0.005,,4.0,50.0,-4.59,,
CeO2,phosphatase,3.5,3.5,3.5,,,,,,,,,,6,75.0,,,
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,
MnO2,catalase,100.0,100.0,100.0,,,,,H2O2,,,,,,37.0,,,
MnO2,catalase,100.0,100.0,100.0,,,,8.03,H2O2,,,,,5.5,37.0,,,
MnO2,catalase,100.0,100.0,100.0,,,,8.03,H2O2,,,,,7.4,37.0,,,
AgPt,peroxidase,44.3,,,BSA,,0.129,0.08971,OPD+H2O2,,,1.0,,4,,,,
AgPt,peroxidase,44.3,,,BSA,,76.05,0.12849,H2O2+OPD,,,1.0,,4,,,,
AgPt,catalase,44.3,,,BSA,,62.98,0.0060999999999999,H2O2,,,,,11,,,,
CuS,peroxidase,7.0,7.0,7.0,,,,,TMB+H2O2,0.01,1.0,100.0,100.0,~7,25.0,,,
CuS,peroxidase,7.0,7.0,7.0,,,,,H2O2+TMB,0.01,1.0,100.0,100.0,~7,25.0,,,
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,,,,,,,,5.0,20.5,-36.3,,
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,0.025,,TMB+H2O2,,,0.0066,0.002,5.0,37.0,-36.3,,
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,0.025,,H2O2+TMB,,,0.0066,0.002,5.0,37.0,-36.3,,
NiTe,peroxidase,5000000.0,45.0,,,,0.011,4.27e-05,ABTS+H2O2,0.1,500.0,100.0,2.0,4.0,30.0,,,
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,0.0,4.0,,0.1,,25.0,,,
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,,,,,,25.0,,,
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,4.0,4.0,,,,37.0,,,
Fe3O4,peroxidase,14.5,14.5,14.5,,,,,TMB+H2O2,,,0.1,,6.0,25.0,,,
TiN,peroxidase,70.0,70.0,70.0,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,
TiN,peroxidase,,,,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,
TiN,peroxidase,,,,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,
TiN,peroxidase,70.0,70.0,70.0,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,
TiN,peroxidase,,,,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,
TiN,peroxidase,,,,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,
CeO2,peroxidase,7.9,7.9,7.9,,,0.217,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,
CeO2,peroxidase,7.3,7.3,7.3,,,0.196,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,
CeO2,peroxidase,6.7,6.7,6.7,,,0.163,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,
CeO2,oxidase,7.9,7.9,7.9,,,0.261,,TMB,0.05,1.0,,0.5,4.0,25.0,,,
CeO2,oxidase,6.7,6.7,6.7,,,0.132,,TMB,0.05,1.0,,0.5,4.0,25.0,,,
Au,peroxidase,13.0,13.0,13.0,,,,,TMB+H2O2,0.05,2.0,,,~3,25.0,,,
Au,peroxidase,13.0,13.0,13.0,,,,,H2O2+TMB,0.05,2.0,,,~3,25.0,,,
CoOOH,peroxidase,,,,,,0.02,0.0001,TMB+H2O2,0.01,0.1,40.0,0.001,4.0,37.0,,,
CoOOH,peroxidase,,,,,,0.02,0.0001,H2O2+TMB,10.0,100.0,0.8,0.001,4.0,37.0,,,
CeO2,superoxide dismutase,4.42,4.42,4.42,,,,,WST-1 + xanthine oxidase,,,,,,200.0,42.9,,
Fe4[Fe(CN)6]3,peroxidase,420.0,420.0,420.0,poly(dopamine),,1.81,,H2O2+TMB,0.0005,0.02,9800.0,5.0,4.5,25.0,,,
Fe4[Fe(CN)6]3,peroxidase,420.0,420.0,420.0,poly(dopamine),,0.204,,TMB+H2O2,0.0005,0.02,9800.0,5.0,4.5,25.0,,,
Pd@Pt,peroxidase,50.0,50.0,50.0,poly(N-Vinylpyrrolidone),TBAB,,,H2O2+TMB,0.001,0.01,1.0,1.0,7.4,25.0,,,
Pd@Pt,peroxidase,50.0,50.0,50.0,poly(N-Vinylpyrrolidone),TBAB,,,TMB+H2O2,0.001,0.01,1.0,1.0,7.4,25.0,,,
Au,oxidase,13.0,13.0,13.0,,,1.5,0.001,glucose,5.0,180.0,4.0,,7.4,37.0,,,
Au,peroxidase,13.0,13.0,13.0,,,0.1,0.0005,H2O2+OPD,1.0,160.0,0.8,,7.4,37.0,,,
Au,peroxidase,13.0,13.0,13.0,,,0.2,0.0005,OPD+H2O2,0.1,1.2,16.0,,7.4,37.0,,,
Fe3O4,peroxidase,15.0,15.0,15.0,,,,,TMB+H2O2,,,0.625,0.5,4,40.0,,,
Fe3O4,peroxidase,15.0,15.0,15.0,,,,,H2O2+TMB,,,0.416,0.5,4,40.0,,,
CeVO4,peroxidase,,,,,,3.52,,H2O2+TMB,0.15,,20.0,2e-05,3.5,35.0,,,
CeVO4,peroxidase,,,,,,0.136,,TMB+H2O2,,,20.0,2e-05,3.5,35.0,,,
CeVO4,oxidase,,,,,,0.05,,TMB,5e-05,0.008,,7.999999999999999e-05,3.5,25.0,,,
Au,phosphatase,2.5,2.5,2.5,,,0.93,,HPNP,,,,,7.4,40.0,,,
Co3O4,peroxidase,6.3,6.3,6.3,,,0.84,1.83e-07,TMB+H2O2,0.0,6.0,800.0,,4.5,25.0,,,
Co3O4,peroxidase,6.3,6.3,6.3,,,1.77,1.62e-07,H2O2+TMB,0.0,6.0,0.8,,4.5,25.0,,,
CeO2,dnase,5.0,5.0,5.0,,,,,DNA,,,,100.0,,60.0,,,
Pt,peroxidase,2.0,2.0,2.0,,sodium 2-mercaptoethanesulfonate,139.99999999999997,,H2O2+TMB,,,0.8,,4.5,30.0,,,
Pt,peroxidase,2.0,2.0,2.0,,sodium 2-mercaptoethanesulfonate,0.15,,TMB+H2O2,,,1000.0,,4.5,30.0,,,
Pt,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),sodium 2-mercaptoethanesulfonate,170.0,,H2O2+TMB,,,0.8,,4.5,30.0,,,
Pt,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),sodium 2-mercaptoethanesulfonate,0.16,,TMB+H2O2,,,1000.0,,4.5,30.0,,,
CuS,peroxidase,4.63,4.63,4.63,,,0.244,9.12e-05,TMB+H2O2,0.02,10.0,5.0,0.006,4,25.0,,18.264,
CuS,peroxidase,4.63,4.63,4.63,,,0.033,0.0001515,H2O2+TMB,0.01,1.5,0.5,0.006,4,25.0,,18.264,
C,peroxidase,1.3,1.3,1.3,,,1.1,5e-05,TMB+H2O2,0.01,0.8,25.0,0.0275,4.0,37.0,,,
C,peroxidase,1.3,1.3,1.3,,,25.0,5e-05,H2O2+TMB,5.0,70.0,0.1,0.0275,4.0,37.0,,,
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,TMB+H2O2,0.005,,40.0,0.5,4.2,25.0,,,
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,H2O2+TMB,40.0,,5.0,0.5,4.2,25.0,,,
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,phenol+H2O2,0.001,200.0,60.0,5.0,6.2,37.0,,,
CdS,peroxidase,35.0,35.0,35.0,,,3.482,,H2O2,0.0049999999999999,0.4,,0.1,6.0,25.0,,,
C,peroxidase,3.5,3.5,3.5,,,0.097,0.0002786,H2O2+TMB,,,30.0,,4.0,37.0,-5.46,,
C,peroxidase,3.5,3.5,3.5,,,0.042,0.000161,TMB+H2O2,,,30.0,,4.0,37.0,-5.46,,
Co3O4-CeO2,peroxidase,,,,poly(N-Vinylpyrrolidone),,0.36,0.0001665999999999,TMB+H2O2,0.005,1.5,1.2,3.0,6.0,30.0,,,
Co3O4-CeO2,peroxidase,,,,poly(N-Vinylpyrrolidone),,132.21,4.34e-05,H2O2+TMB,0.005,1.5,0.8,3.0,6.0,30.0,,,
RuO2,catalase,2.0,2.0,2.0,chitosan,,3.59,0.0381666666666666,H2O2,0.2,2.0,,0.02,,25.0,,14.46,
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.099,0.000215,TMB+H2O2,0.1,1.0,1.0,0.02,,25.0,,14.46,
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.146,0.0002066666666666,H2O2+TMB,0.1,1.0,0.3,0.02,,25.0,,14.46,
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.87,0.001085,GSH+H2O2,1.0,5.0,0.5,0.02,,25.0,,14.46,
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.0172,0.0007833333333333,H2O2+GSH,0.1,0.5,2.0,0.02,,25.0,,14.46,
PtPd,peroxidase,35.0,35.0,35.0,,CTAB,,,TMB+H2O2,0.6,0.6,1.0,,6.5,30.0,,,
PtPd,peroxidase,35.0,35.0,35.0,,CTAB,0.01,0.001,H2O2+TMB,1.0,1.0,0.6,,6.5,30.0,,,
Au-Pt,peroxidase,100.0,20.0,,poly(thymine),CTAB,0.08,0.001,H2O2+TMB,0.08,0.8,20.0,0.004,4,30.0,,,
Au-Pt,peroxidase,100.0,20.0,,poly(thymine),CTAB,20.0,0.001,TMB+H2O2,0.08,0.8,20.0,0.004,4,30.0,,,
CuWO4,peroxidase,66.0,66.0,66.0,,,0.385,,H2O2+TMB,0.0002,0.38,0.49,,3,80.0,,,
CuWO4,peroxidase,66.0,66.0,66.0,,,0.385,,TMB+H2O2,0.02487,3.6,0.49,,3,80.0,,,
Au,peroxidase,25.0,25.0,25.0,,CTAC,,,Ascorbic acid + H2O2,,,,,7.0,25.0,,,
Fe2O3,peroxidase,384.0,384.0,384.0,poly(N-Vinylpyrrolidone),,0.214,2.12e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,
Fe2O3,peroxidase,384.0,384.0,384.0,poly(N-Vinylpyrrolidone),,115.0,2.89e-05,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,0.0571,9.08e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,236.0,0.000166,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,0.581,3.92e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,452.0,0.000392,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,
Fe3O4,peroxidase,8.0,8.0,8.0,,,,,H2O2,,,,,,42.0,20.64,,
Fe3O4,peroxidase,8.0,8.0,8.0,,,,,H2O2,,,,,,37.0,20.64,,
CuO,peroxidase,6.0,6.0,6.0,,,,,H2O2+phenol,,,100.0,,3-7,25.0,,,
MnO2,peroxidase,350.0,10.0,,,,0.05,0.0001,TMB+H2O2,0.001,0.1,50.0,0.0032,5,25.0,,498.1,
MnO2,peroxidase,350.0,10.0,,,,0.05,0.0001,ABTS+H2O2,0.001,0.1,50.0,0.0032,5,25.0,,498.1,
TiO2,peroxidase,,,,,,0.025,,H2O2+ABTS,,,0.25,,4.4,25.0,,,
TiO2,peroxidase,,,,,,0.025,,H2O2+ABTS,,,0.25,,4.4,25.0,,,
Fe3O4,peroxidase,,,,,,100.0,0.01,TMB+H2O2,0.001,0.1,0.008,0.008,3.5,30.0,,,
Fe3O4,peroxidase,,,,,,100.0,0.01,H2O2+TMB,0.001,0.1,0.008,0.008,3.5,30.0,,,
ZnCo2O4,peroxidase,,,,poly(ethylene glycol),,0.05,0.001,H2O2+OPD,0.05,1.0,50.0,1.0,5,45.0,,,
ZnCo2O4,peroxidase,,,,poly(ethylene glycol),,0.05,0.001,OPD+H2O2,0.05,1.0,100.0,1.0,5,45.0,,,
Ag,peroxidase,14.0,14.0,14.0,chitosan,,0.12,0.0001,TMB+H2O2,1e-06,0.0005,2.5,0.0039,3,35.0,58.7,,
Ag,peroxidase,14.0,14.0,14.0,chitosan,,0.12,0.0001,H2O2+TMB,1e-07,5e-05,0.5,0.0039,3,35.0,58.7,,
Ag,oxidase,7.4,7.4,7.4,,,0.0072,4.8166666666666674e-05,ABTS+H2O2,0.005,0.2,0.2,,7,25.0,-43.18,,
Ag-Au/AgCl,peroxidase,,200.0,19.0,,,0.01,0.0001,H2O2+AR,0.0,1.0,0.01,,7.4,25.0,,,
Ag-Au/AgCl,peroxidase,,200.0,19.0,,,0.01,0.0001,AR+H2O2,0.0,1.0,0.1,,7.4,25.0,,,
PtPd,oxidase,30.0,30.0,30.0,Pluronic F127,,,,catechol + H2O2,,,,,7.5,35.0,744.0,,
PtPd,oxidase,30.0,30.0,30.0,Pluronic F127,,,,catechol + H2O2,,,,,7.4,25.0,720.0,,
Ag-TiO2,peroxidase,12.5,12.5,12.5,,,39.9,,H2O2+TMB,,,,,5.0,35.0,,,
Ag-TiO2,peroxidase,12.5,12.5,12.5,,,0.032,,TMB+H2O2,,,,,5.0,35.0,,,
CuCo2O4,peroxidase,4000000.0,4000000.0,4000000.0,poly(N-Vinylpyrrolidone),,0.1646,0.0006353999999999,TMB+H2O2,10.0,100.0,25.0,0.3,5,40.0,,,
CuCo2O4,peroxidase,4000000.0,4000000.0,4000000.0,poly(N-Vinylpyrrolidone),,0.59,6.829999999999999e-05,H2O2+TMB,10.0,100.0,100.0,0.3,5,40.0,,,
MnSO4,peroxidase,,,,,,,,H2O2+TMB,,,,,4.5,,,,
MnSO4,peroxidase,,,,,,,,TMB+H2O2,,,,,4.5,,,,
Ag2V4O11,peroxidase,,30.0,,,,0.438,,TMB+H2O2,0.0,5.0,5.0,0.3,5,30.0,,,
Ag2V4O11,peroxidase,,30.0,,,,0.72,,H2O2+TMB,0.0,5.0,5.0,0.3,5,30.0,,,
Ag2V4O11,peroxidase,,30.0,,,,0.05,,H2O2+TMB,0.05,0.8,8.0,0.3,5,30.0,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,7,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,
