Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,2.0,,,,7.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,267.0,37.3,34.1,,,10.318565412720048,7.0,-0.4812303897852169,0.30283955653219446,,10028
0.03,,1.0,,,,6.2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10029
,,1.0,,,,7.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,62.0,40.5,,,,8.66925925925926,,-0.5042601246702529,0.15688318072542773,,10030
,,1.0,,,,7.4,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10031
10.8,,1.0,,,,5.0,,,0.3979400086720376,2.0,2.5,100.0,1.0,10.0,,,,,,,,,,,,,,,,,,,40.5,93.4,,,6.0,10.552160493827161,-0.254557430614467,-0.254557430614467,,10032
232.0,,1.0,,,,5.0,,,0.0,1.6989700043360187,1.0,50.0,1.0,10.0,,,,,,,,,,,,,,,,,,162.0,93.4,40.5,,,10.552160493827161,6.0,-0.4796946636327964,0.32655818117348623,,10033
4.7,,1.0,,,,5.0,,,0.0,1.6989700043360187,1.0,50.0,1.0,10.0,,,,,,,,,,,,,,,,,,162.0,93.4,40.5,,,10.552160493827161,6.0,-0.4796946636327964,0.32655818117348623,,10034
236.0,,1.0,,,,5.0,,,0.3979400086720376,2.0,2.5,100.0,1.0,10.0,,,,,,,,,,,,,,,,,,,40.5,93.4,,,6.0,10.552160493827161,-0.254557430614467,-0.254557430614467,,10035
,,1.0,,,,7.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036
,,5.0,,,,7.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10037
0.005,26.17,1.0,,,,4.0,37.0,3.0,-2.0,2.0,0.01,100.0,0.6989700043360189,5.0,-1.6989700043360187,0.02,6.528273777167044,203.434,39.28206812208652,0.0,15.136342592592591,3.742918213444276,4.226502749346147,0.8827160493827162,-1.4286265432098764,0.0,0.0,6.923737199690624,-0.5353855627947162,5.897745344357611,0.0,226.0,52.0,40.5,21.6,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.2050484272533053,10038
0.23,8.16,1.0,,,,4.0,37.0,3.0,-2.0,0.3010299956639812,0.01,2.0,0.6989700043360189,5.0,-1.6989700043360187,0.02,6.528273777167044,203.434,39.28206812208652,0.0,15.136342592592591,3.742918213444276,4.226502749346147,0.8827160493827162,-1.4286265432098764,0.0,0.0,6.923737199690624,-0.5353855627947162,5.897745344357611,0.0,,40.5,52.0,21.6,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,-2.2050484272533053,10039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040
32.11,,1.0,2.6666666666666665,1.1766666666666667,-0.29,5.5,25.0,3.0,,,,,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10041
27.54,,1.0,2.6666666666666665,1.1766666666666667,-0.29,5.5,50.0,3.0,,,,,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10042
84.8,,3.0,2.6666666666666665,1.1766666666666667,-0.29,5.5,25.0,3.0,1.6532125137753437,2.7781512503836434,45.0,600.0,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10043
70.5,,3.0,2.6666666666666665,1.1766666666666667,-0.29,5.5,50.0,3.0,1.6532125137753437,2.7781512503836434,45.0,600.0,,,-1.0,0.1,1.632204133050827,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10044
