Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
0.25,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,4.0,25.0,3.0,-4.0,-0.6989700043360187,0.0001,0.2,-1.0,0.1,-1.3010299956639813,0.05,2.0969100130080562,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10019
3.29,,peroxidase,2.66,1.0725,-0.14,4.5,37.0,3.0,-0.6989700043360187,1.4771212547196624,0.2,30.0,-0.1549019599857432,0.7,-1.5228787452803376,0.03,1.959637541326031,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10020
4.82,8.87e-06,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,1.0,10.0,,,3.0,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10021
0.4,0.0001669999999999,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,1.0,10.0,,,5.334453751150931,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10022
2.65,0.0003319999999999,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,1.0,10.0,,,3.9030899869919438,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10023
23.5,9.85e-07,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,-1.0,0.1,,,3.0,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10024
7.54,0.000355,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,-1.0,0.1,,,5.334453751150931,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10025
17.19,4.599999999999999e-05,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,-1.0,0.1,,,3.9030899869919438,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10026
,,peroxidase,2.455,1.1233333333333333,-0.9033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10027
0.05,0.001,peroxidase,2.55,0.3,0.0,4.5,37.0,3.0,-3.0,-1.0,0.001,0.1,-1.0,0.1,-2.0,0.01,6.0,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10028
